,Comment
0,"
kolay gelsin diye bir kargo firması ile çalışıyorlar. ben gayet memnunum.
  "
1,"
    çok sık online alışveriş yapan biri olarak, bu kadar övülüyor bari ben de bir kez bir şeyler alayım diyorum ama olmuyor. n11, hepsiburada, teknosa, mediamarkt, vatan, gittigidiyor vb sitelerinin hepsinden farklı zamanlarda farklı türlerde alışveriş yaptım. çok şükür herhangi bir sorun da yaşamadım. bugüne kadar internetten araştırarak aldığım hiç bir ürünün bu sitede daha uygun fiyatla satıldığına şahit olmadım. ya bana hep öyle denk geliyor ya da burdan ürün alanlar kazıklanıyorlar.
  "
2,"
    geçen alışveriş yaptım. agt kargo diye bir kargo gördüm. dedim eyvah gelmez bu. aman efendim ertesi gün gelmesini geçtim. telefon ettiler geliyoruz evde mısınız diye. öncesinde mesaj attılar yola çıktık komşuya bırakmamızı istiyorsanız arayın diye. valla hep bu kargoyla çalışsınlar.
  "
3,"
    yurtdışı kullanıcı yorumlarını da yayınlamaya başlayan e-ticaret sitesi. ürün yorumlarını okudukça sayelerinde sabah akşam elin ingilizine, almanına ""tabi sizin için uygun ürün olur, 30 euro bu, 40 dolar şu sizin paranızla"" diye söylenmeme sebep oldu. 1200 tl olan lego setine cok uygun fiyatlı yazmışlar, ölür müsün öldürür müsün?
  "
4,"
    2 siparişimizde teslim edemediler .bir tanesine kargo takip numarasını da yanlış girdiler .müşteri hizmetlerine tabiki ulaşamıyorsunuz .bu ülkede hiç mi bir şey doğru çalışmaz .
  "
5,"
    amazon türkiye'den ilk alıverişim bir kahve makinesi oldu.ismi lazım değil markanın amazon'daki ilanında makine, uçuyor kaçıyor, uzaya çıkıyor ters parende atıyor ama en önemli özelliği damlatmıyor diyordu.bir de piyasadaki muadillerinden 100 tl daha ucuz.senin didim ""canını yirim, damlatmıyormuşun çen"" diye diye bastım kredi kartını şırrrakk diye aldım.eski bozulmuş kahve makineme ve beni doyuramayan mokapoda şöyle bir baktım.evladından bıkmış baba gibi ""galk lan yirine yat"" deyu deyu postaladım bunları.siparişi verdim, diyor 3 gün sonra elinizde. hacı didim sen 3 gün diyon ama gelmez o. benim ev itin ölüdğü yerde.kafadan 1 haftayı gözden çıkardım ve ertesi sabah kahve krizi tutunca, gidip mokapoda ""abicim ben ettim sen etme, mallığıma ver"" diyerek öpütüm başıma koydum.işte tam o anda kapı çaldı. baktım bi eleman, elinde bir kutu, kutuda bir amazon gülümsemesi, ""siparişiniz geldi"" dedi.""haaa s.ktir len olm senin bu kargoyu şubede 2 gün bekletip, sonra evi bulamayıp şubeye gönderip, sonra şubede telefonlar 23423453 kez çaldıktan sonra sakız çiğneyen bir kızın telefonda şo ando doğotomdo diye yalan söylemesi, benim seni yine beklemem, ben evde olduğum halde senin benim eve kadar gelmek popona zor geldiği için adreste bulunamadı diyip göndermen. sonra benim atlayıp şubeye gelmem, tekmelenmiş 1000 tane kargo içinde kolimi bulmam, oradan ayıklamam gerekmiyor muydu yaaaa"" dedim.""yok efendim buyrun siparişiniz""dedi..elimde koli gittim mutfağa, az önce binbir aman dilediğim mokapoda baktım, şener şen'in, ağa rolünde köylünün kıçına bastığı tekme gibi ""de hayde hale yüzüme bakıyo"" diyerek bastım tekmeyi.neyse açtım şöyle bi sildim temizledim. gittim kahvemi aldım geldim. bir güzel kurdum. baktım çalışıyor sıkıntı yok. ilk bardak geldi demliğe.hemen bi bakayım dedim, nasılsa damlatmıyor yaa, hem kahvenin tadına bakayım hem de damlatmıyor diye sevineyim dedim ki; demliği makineden almamla, tıstıstıs diye yeni dedikodu yapmış da takma dişlerini çıkarmış yengem gibi tıslayarak damlatıyor.bak şerefsiz evladıyım ki ağlamamak için kendimi zor tuttum. en azından bir uçan tekme falan atasım geldi.senin de teknolojinin de, tesla'nın da, einstein'ın da, mark zuckerberg'in de, elon musk'un da, jeff bezos'un da diye söylene söylene müşteri hizmetlerini aradım.karşıma neşelimi neşeli bir beyefendi çıktı. ama ben pis sinirliyim. dedim gardaşım bu ne böyle dedemin çükü gibi damlatıyor hani damlatmazdı bu.alın bunu istemiyom amk dedim.bekliyom ki, karşımdaki neşe küpü eleman yok iade alamayız, kutusunu açmışsınız, kahvenizi demlemişsiniz desin.desin ki, işi yokuşa sürsün ki, hıncımı çıkarayım.ama yok peki beyefendi iade kodunuz falan filan bişeyler söyledi. iade edebilirsiniz dedi.resmen sinirim, kursağımda kaldı.döndüm mutfağa, makineye trip atıyom.mokapoda döndüm.""sen, ben, bir kez daha denesek mi acaba"" diye yalakalık yaptım.neyse aradan bikaç gün geçti, yan yattı çamura battı ben makineyi iade edemedim. öyle mutfakta köşede de duruyor.neyse dedim bu kodun zamanı geçmiştir falan arayayım tekrar yeni kod versinler.bu sefer alamanyalardan bir hanım açtı telefonu. dedim bele bele bu dedim dalatıyor ben de iade edecem falan.kadın bildiğin dertleşti benimle, ""ahh dedi bence de çok sinir bozucu bir durum, eski makinem damlatırdı temizlemesi falan da dert"" diye.peki dedim ben bunu iade edecem.""var mı başka düşündüğünüz bir model"" dedi.yok dedim mokapodumu ikna ettim yetmiyor ama onunla devam edecem.""çok mu sorun sizin için damlatması"" dedi."" açık konuşmak gerekirse aslında sorun ancak şuan için, yeni bir makineye bundan fazla ayıracak bütçem yok.eğer böyle bir vaatte bulunmamış olsalardı, belki yine de alırdım ama açıkçası damlatıyor bir sonraki ürünün de aynı şekilde hatalı gelmesi iyice sinirimi bozacak en iyisi siz kod verin de götürüp kargoya vereyim"" dedim.not: bakın ürünün kutusunda dahi eşek kadar yazıyor, demlenirken bir fincan kahve almanıza olanak sağlar diye.telefonun ucundaki o pozitif ses bana şöyle bir sihirli cümle kurdu;""debauchee bey öncelikle sizden verdiğimiz ürün garantisini sağlayamamış olduğumuz için özürdileriz. yaptığım incelemede gerçekten de ürünün böyle bir özelliğinden söz ediliyor. eğer damlatma genel anlamda sorun değilse size ürünün şu kadar tutarını iade edelim ve siz de ürünü iade etmeyin"" dedi....ben şöyle 5-10 saniye kadar durduktan sonra aynen şu cümleyi kurdum.anlamadım??????lan öldüm falan sandım arkadaş. nasıl dedim ben ürünü size iade etmeyeyim diye siz bana al kullan böyle şu kadar lira da para iadesi mi diyorsunuz dedim.evet dedi.arkadaşım sen almanya'dan bağlanıyon kardeş bura türkiye nööroooonnn dedim. burada para iadesi ürün iadesi hele ürün kalsın da şöyle olsun diye birşey olmaz dedim.bak bura kurtlar sofrası, bu amazon'u burada çok öperler dedim.bizim çalışma prensibimiz bu şekilde onaylıyorsanız iyi günlerde kahve içmenizi dilerim dedi.o gün bugündür ne zaman kahve içsem öncelikle amazon çalışanlarına, sonra jeff bezos'a, tacsiz kral pele, alman kaleci mayer, beckenbauer, nadya komanaçi, bricit bardo, fenerbahçeli cemil'e falan herkese teşekkür ettim.3-5 lira küçük farklar için de ne olur ne olmaz diye hep de amazon'dan alışveriş yaptım.yani o parayı adamlar zaten benden çıkardı arkadaş. ama tatlı tatlı çıkardı.helal hoş olsun.bu arada tesla'nın hakkı yendi arkadaş.
  "
6,"
    site güzel olabilir ama arayüzü çok kunlanışsız. bu yüzden trendyol aynı markadan aldığım şeyleri bile otuz kargo yapıp gönderse de daha kunlanışlı. amazon bu arayüzle türkiye’de bir numara falan olamaz. ama prime üyelerine sunduğu ücretsiz ve hızlı kargo olayı harika. fiyat konusunda buradan deterjan türevi ürünler aldım ve hepsiburadaya göre daha uyguna geldi.aynı ürünler hepsiburada da daha kalitesiz peçete seçmeme rağmen daha pahalı ve tabi kargo ücreti de var.
  "
7,"
    ürün çeşitlerini artırmasını, dönem dönem daha fazla indirim yapmasını ve kendisini bozmamasını dilediğim site. bunu yazıyorum diye şimdi tüm büyü bozulabilir belki ama acil olan her şeyi buradan söylüyorum; şak ertesi gün kapımda. hepsi özenle paketlenmiş geliyor-kedi kumu dahil. prime yazılı koli bantlarını yediğim.
  "
8,"
    türkiye ayağının ürün çeşitliliği halen yetersiz. kaç sene oldu, herhalde bizim millete göre iş yapıyorlar, neyse.prime video'yu ikidir sözlükte yazayım diyordum, hazır girmişken yazayım. satın aldım ve 2 aydır kullanıyorum. lakin izleyebileceğiniz dizi ve filmler o kadar az ki... bunu netflix ile ortak tutanları anlamıyorum. 20 tane rastgele dizi veya filmi izlemek istedim. sadece 3 tanesi bu serviste yer alıyor. hatta eski diziler, dersin ki fiyatları daha ucuz olur ve bunlar bulunuyordur. yok onlar bile bulunmuyor da reklamsız yayınlayan sitelerden izliyorum.
  "
9,"
https://prnt.sc/w5vagibu nasıl bir zamdır eyyy amazon. 93 tl artırmak nedir bir günde. https://prnt.sc/w5var0neyseki bu ürünü şok marketten 269 tl ye aldım ve çok memnun kaldım.önce amazondu sonra değişmiş amazondu kalmayınca.
  "
10,"
    benim icin turkiyedeki en iyi online alisveris platformu. her sorunuma cok hizli ve faydali cozumler uretildi bugune kadar, musteri temsilcilerine ulasmak cok kolay ve cok yardimci oluyorlar, urunler cok hizli gonderiliyor en gec ertesi gun kargoya veriliyor, bazi urunlerde zaman zaman asiri iyi indirimler oluyor, normal fiyatlar da zaten bircok sitenin indirimli diye koydugu fiyatlar. asiri memnunum nazar degecek diye korkuyorum.
  "
11,"
    millete daha fazla kazık atamayacağı için kudurup yapılan olumlu yorumlara bok atan esnafları gördüğümüz başlıktır. ayrıca 3 ocağa kadar app ler üzerinden siparişlerde de 30 tl indirim varmış buna da değerlendirip hemen 12 saat içerisinde yeni siparişimi aldım.not: diğer alışveriş sitesinin özellikle kargo bölümünde çok fazla sorunlar yaşayan biri olarak da bu entry sadece müşteri memnuniyetini belli etmek için girilmiştir.
  "
12,"
    amazon prime üyesi oldum. ertesi gün teslimat, canlı kargo konumunu görme özelliği çok iyi. bundan sonra bunu kullanacağım gibi görünüyor. ayrıca prime video da baya hoşuma gitti.
  "
13,"
    prime üyesi oldum ilk ay ücretsizmiş. oppo reno 4 telefon ve birkaç parça alışveriş yaptım. kargom 24 saat içinde geldi. kolay gelsin adlı kargo ile geliyor canlı olarak görebiliyorsunuz nerede olduğunu. gayet güzel hizmetler bunlar. umarım fiyatlarında da güzel indirimler olur ihtiyacımız olan her şeyi alabiliriz.
  "
14,"
    amazon'un yaptığı çok kolay gibi görünen zor bir iş. peki nedir bu iş? tüketiciye güven vermek ve bunu sadece sözle değil uygulamaları ile göstermek.örneğin bir televizyon alacağım, atıyorum 10.000 tl fiyatı var. diğeri sitelerde 9.500tl bile olsa amazonu tercih ediyorum. peki niçin? çünkü tv kargoda kırılırsa, bozuk gelirse, piksel yanmışsa vb. durumlarda yeni aldığım tv için servis servis gezmem, hakem heyeti ile uğraşmam, kargocuya yalvarıp tutanak tutturmaya çalışmam, servisin lütfedip gelmesini beklemem diyorum.x marka bir telefon alacak olsam telefonun kendi servisinden, garantisinden çok amazon'un garantisine güveniyorum.robot süpürge bakıyorum yok ithalatçı garantili yok resmi distribütör garantili hiç bir şey ifade etmiyor benim için, sadece bakıyorum satıcı amazon mu, amazon garantisi kapsamında mı?tüketicide bunu başaran bir markanın diğeri e-ticaret siteleri gibi öyle önüne gelen her youtubera reklam yaptırmasına da gerek kalmıyor.
  "
15,"
    kindle satmayan site.
  "
16,"
    sistem mükemmel değil, aksaklıklar yaşanıyor. ama gelmeyen bir sipariş için aklından ""eyvah"" gecmiyor. nasıl olsa bir şekilde çözüleceğine guveniyorsun. ve çözülüyor da. o yüzden daha ucuzu olsa da amazon'da varsa gidip ordan alıyorsun. 2 dakikalık videoya 3 dakika reklam veren şirketler, reklam yapacaklarına o güveni versinler, alışveriş yaparken kafamız rahat olsun, onları da overiz. ama önce ovulecek is yapsınlar. arkalarından yeterince sovduk çünkü.
  "
17,"
    hala amazon'un fiyat politikasını anlamayanlar var dünyada. 1.amazona ürünü 200 tl'den satar. stoğu bittiğinde bünyesinde o ürünü satan satıcılardan en ucuz fiyatı veren satıcıya seni yönlendirir. 2. eğer bir şeyi uyguna almak istiyorsanız eklerseniz sepetinize. gözlemlersiniz bir ay. öyle günlük %90 indirim modunda indirimleri değil ürüne özel indirimi beklersiniz. denk gelirseniz, alırsınız. ör. piyasada 500tl olan bir giyisiyi 2 ay takip ettim. olsa da olur olmasa da diyerek. ortalama 350 tl iken bir gün 190'a düşürdüler ve aldım. ayrıca şok'ta da satılmıyor o marka.3. ürün sayfasında bir yerlerde satıcı yazıyor. karşısında amazon yazmıyorsa amazon satmıyordur. ör. huawei türkiye veya noseri amazon değildir.
  "
18,"
    kahve makinesine paragraflarca yorum yapanları görmemizi sağlayan sitedir.
  "
19,"
    (bkz: ooh ohh paralar kan emici küçük esnafa gitmiyor oohh)
  "
20,"
    hayatımda yaşadığım en kötü e-ticaret deneyimini sunan site. bu kadar çok teknik sorunu yerin dibine soktuğumuz türk e-ticaret sitelerinde bile yaşamadım. konuya geleyim. yurtdışında yaşıyorum ve aileme 2 tane telefon sipariş etmek istedim. uygun telefonu buldum falan neyse. ürün trendyol, pttavm, n11 gibi sitelerin hepsinde mevcut, ancak hem bir problem olursa ailem uğraşmasın hem de ben uzaktan problemlerle uğraşmak zorunda kalmamak için toplamda 250 tl civarında fark olmasına rağmen amazon.com.tr yi tercih ettim. tüm hatayı amazonu seçerek yaptım sanırım. bu arada belirtmek gerek sanırım. ailemin evine yollayacağım için yeni adres tanımladım. bununla birlikte eski kartım sistemde tanımlı olduğu ve son kullanma tarihi geçtiği için yeni kart ekledim. kredi kartlarımda her zaman internet harcama limiti vardır. 3d doğrulama adımına gelmeden de limiti değiştirmem. amazonu hep aws için kullandım e-ticaret amaçlı kullanmadığım için 3d doğrulama yapmadan ödeme aldığını bilmiyordum ve haliyle ödeme başarısız oldu.sorunun ne olduğu hiçbir yerde net olarak belirtilmediği için kart kaynaklı olabilir diye eşimin kartını da tanımladım ve bir siparişi onun bir siparişi benim kartımdan geçtik. ödemelerden birisi düzgün şekilde gerçekleşti ancak diğeri yine tamamlanamadı. sabah hem ödemesi gerçekleşen hem de gerçekleşmeyen iki siparişin de silindiğini gördüm. şuan ne ödeme yapabildiğim kartımla yeni sipariş oluşturabiliyorum ne de siparişlerin durumunu görebiliyorum. siparişler tamamen silinmiş göründüğü için siparişler üzerinden müşteri hizmetlerine ulaşmak da mümkün değil. sohbet sürekli ""sohbetle ilgili bir sorun oluştu."" hatası veriyor. müşteri hizmetlerine mail attık bakalım ne zaman geri dönerlerse. çok övülen müşteri hizmetlerinin nasıl çalıştığını görmüş olucaz. ancak şikayet var yorumlarını gördükten sonra pek de umudum kalmadı. geri dönüşlerine göre burayı tekrar güncelleyeceğim.edit: ürünler teslim edildi ancak hala siparişlerim gözükmüyor. bugüne kadar siparişlerle ilgili hiçbir bilgi alamadım. attığım maillere kimse cevap vermedi. yine de ürünler ulaştığı için mutluyum.
  "
21,"
    normalde antalyadan herhangi bir şey sipariş ettiğinizde asla zamanında gelmez. ilk defa amazon siparişimi tam zamanında getirdi. çok iyi hizmet veriyorlar çoğu ürünün fiyatı aynı hatta prime fırsatlarında çok ucuz şeyler de oluyor. 3-5 tl fazla olsa bile buradan alıyorum en azından kafam rahat oluyor. aynen böyle devam çok iyisiniz.
  "
22,"
    insanı çileden çıkaran bir şifre yenileme sistemine sahip olan firma.hesaba giriş yap diyorum şifrenizi yenilemeniz gerekiyor diyor.tamam dediğimde, mail yenileme kodu geldi, kodu giriyorum 6312 ile biten kartın son kullanma tarihini girin diyor. kart eski olduğu için hatırlamıyorum, bilmiyorum seçeneği yok.müşteri hizmetlerini arıyorum, otomatik bir kayıt size attığımız linke tıklayın diyerek kapatıyor. linke tıkladığımda hesabınıza giriş yapın diyor, şifreyi giriyorum, yenilemeniz gerekiyor diyor.müşteri hizmetlerine mail ile iletişime geçmeye basıyorum hesabınıza giriş yapın diyor.1 saattir bu döngünün içinde şifremi bilmeme rağmen hesabıma giremiyorum. bu sistemi oluşturan gerizekalı yazılımcı, bana buradan ulaşırsa kendisine teşekkür etmek istiyorum.
  "
23,"
https://www.amazon.com.tr/…4&s=books&sr=1-2-catcorrdün şunu 42 liraya alamadığımız site.kaçtı la ürün elimizden. sepete attım iki dakika sohbet ettik arkadaşla derken pat diye gitti.42 iyidi ya. :(amazon beni bul.
  "
24,"
    yılın son fırsatları indirimi yapacak site. bannerda 20 aralık diyor. tıklıyorsun açıklamada başlangıç tarihi 21 aralık yazıyor. 20 aralık 00.00 oluyor, bu sefer akşam 6'da başlayacak yazıyor. ne denli ciddi oldukları buradan belli. indirime girecek ürünlerde muhtemelen- tuvalet kağıdı- damacana pompası- şarj kablosuedit : aylardır 1584 lira bilmem kaç kuruşa sattıkları hue 3'lü başlangıç setini indirimle 1609 lira 41 kuruş yapmışlar. eksik olma bezos.
  "
25,"
    cumartesi akşam saat 22:00'de verdiğim sipariş için 4 saat sonra yani pazar gece 02:00'de yola çıkmıştır diye email gönderen firma. kamera şakası gibi.prime üyeyim ve ekmek hariç her şeyi buradan almaya başladım. hem olabilecek en hızlı şekilde geliyor, hem kutular muntazam, hem agt kurye işini çok iyi yapıyor. siparişler saat gibi işliyor kısacası.web sitesindeki arayüzü ve kategori sistemini biraz daha geliştirmelerini diliyorum.
  "
