,Comment
0,"
    farklı illerde depolar açmışlar sanırım. eğer bu doğruysa amazon'a karşı güzel bir adım gibi duruyor. bilmiyorum belki de ben ilk kez duydum
  "
1,"
    olumsuz yorumları hiçbir argo, itham ve ya ironi bile içermediği halde yayınlamayan dandik kuruluş. müşteri deneyimlerini engelleyerek elinize ne geçiyor. insanlar bok gibi ürünleri alıyor sizin yüzünüzden. biz insanlık edip, diğerleri de sorun yaşamasın diye yorum yazıyoruz. bunlar yorumlara izin vermiyor.
  "
2,"
    yanlış sipariş ettiğim bir ürünü dakikasında iptal etmek istediğim halde iptal ettirmeyen tuhaf bir site. kargoyu aldıktan sonra geri göndermem gerekiyormuş. azalarak biterler umarım.
  "
3,"
    uzun uzun rezalet başlığı açmaya üşendim, üyeliğimi iptal ettim. bu arada iptal için telefon ile aranmanız gerekiyor. kvkk izinlerimi de keza kaldırdım. umarım telefon araması, kısa mesaj veya e-posta yoluyla tarafıma herhangi bir pazarlama faaliyetinde bulunurlar. 2020 yılında çalıştığım şirket için de dahil olmak üzere 35.000 lira civarında alışveriş yapmışım, 350 liralık ürün için zıvanadan çıkarttılar. tek talebim de iade edilecek ürünün evimden alınmasını istemiş olmamdı. tanım: e-ticaret platformu, keriz silkeleme şirketi.
  "
4,"
    indirime girdiği için iki tane kulaklık satın aldım. biri güya huawei diğeri güya xiaomi gelecekti. ikisi de çakma geldi. benim için hepsiburada artık bitmiştir. daha da alışveriş yapmam. kamuoyuna saygıyla duyurulur.
  "
5,"
    yıllardır alışveriş yaparım. bir kere ne bir kupon ne hediye çeki bir cacık görmedim. n11 veriyor arada. alışveriş sonrası falan. bir dahaki alışverişte işe yarıyor. reklam manyağı trendyol bile tanımlıyor sürekli. bunlar hep hava cıva. hiç doğru düzgün indirim yaptıklarını da görmedim. hepsi aynı oyunu yapıyor. ama diğerlerinde en azından gerçekten indirimli ürün alabildiğinizde oluyor. bunların black fridayı falan tamamen yalan.
  "
6,"
    sahte ürün satıcılarına bile bile göz yuman sitedir. malum indirimlerde adidas superstar ayakkabıyı yaklaşık 400 liraya görmüş olup 1 adet sipariş geçmiştim. fakat sikayetvar.com sitesinden ilgili satıcının şikayetlerini okurken birçok insanın sahte ürün gönderilmesinden dolayı yakındığını gördüm ve siparişimi iade etmek zorunda kaldım. hepsiburada ise birkaç gün sonra bütün superstar modellerini satıştan kaldırdı. sahte ürün şikâyetlerinden dolayı kaldırdığını sansam da sonraki gün tekrardan bütün satıcılar satışa devam etti. bütün bu olanlar göz yummak değil de nedir? soruyorum sizlere...
  "
7,"
    14 gündür kendi deposundan kargoya veremediği ürünü amazon.com.tr siparişten 18 saat sonra kargoya vermiştir. müşteri ilişkileri robot gibi bildiklerini okuyorlar, iletişim kurmak çok zor.ürün sayfasında bugün alırsanız hemen kargo diyor fakat 14 gün önce aldığım aynı ürünü kargoya vermiyorlar, nedenini sorduğumda cevap yok.
  "
8,"
    bir türlü fiyatları azalandan artana sıralamayan alışveriş sitesi. eskiden bu sorun burada olmuyordu. daha çok trendyolda karşılaştığım bir durumdu. muhtemelen indirimle son düştükleri fiyata göre değil indirimsiz fiyatına göre sıralıyorlar. yazılım ekiplerinin bilgilerine*
  "
9,"
    bugün ""efsane cuma"" adı altında sebamed ürünlerine iki katı fiyat yazıp %50 indirim yapmışlarsıktınız artık zerre inandırıcılığınız kalmadı
  "
10,"
    genel olarak alışverişlerimden memnun olduğum site olsa ama şu reklamındaki yanarlı dönerli afiş (bir nevi tabela) sebebiyle ilk çağrışan şudur (bkz: pavyon). bir de yüzde elli olmasın, yüzde yirmi olsun ama gerçek olsun diye düşünerek reel fiyatlar üzerinden indirimler gösterseler sanki müşteri kitlesinin saygısı daha yüksek olur ama kendileri daha iyi bilir tabi.not: anlatım bozuktu, bir el attık
  "
11,"
    göz göre göre sahte parfüm satılmasına izin veren site. çağrı merkezini aradığımda, almış olduğum 3 adet parfümden birinin kutusunu attığım gerekçesi ile, kutusu olmayan parfümü iade alamayacaklarını belirttiler. kabahat sizde değil tabi size itimat eden bende aq. sahte olması aklımın ucundan dahi geçmediği için kendi kullanacağım parfümün kutusunu açar açmaz atmıştım. siz siz olun buradan parfüm almayın. alacaksanız da benim gibi kutuyu hemen atmayın. iade almıyorlar. elinizde sahte ürünle kalıyorsunuz. hepsiburada üst yönetim kademesi kesin, türkiye'nin amazon'u olma, hatta vizyon olarak amazon'un globaldeki başarısını yakalayacağına inanma vs. gibi hayaller peşindedir. siz müşteriye verilen bu değer ve müşteriye reva görülen bu tarz durumlarla o konuma bok gelirsiniz. birkaç sene içerisinde de amazon türkiye zaten sizi hakettiğiniz noktaya itecektir. şüphem yok.
  "
12,"
    kesinlikle yazılan teslimat gününe inanılması gerken alışveriş sitesi. 10 kasım günü bebek arabası sipariş verdim 20 kasım cuma teslimat edilecek deniyordu bugün 24 kasım araba hala piyasada yok.
  "
13,"
    kafalar karışık. ürüne tıklayana kadar fiyat değişiyor. bitcoin'den hızlı artıyor fiyatlar. yapacağınız indirime sizin.tanım: efsane mefsane indirim yapmayan e-ticaret firması.
  "
14,"
    hepsiburada satıcısından akşamında aldığım ürünü öğleden önce teslim aldım. 12 saat belki olmuştur. güzel olay.
  "
