,Comment
0,"
    bir ton soru, sipariş geliyor mağaza ekranına girip bakamıyoruz, hazırlayamıyoruz. satışa nasıl açıksa site, satıcı tarafını niye açamıyorsunuz mınıka. maillerden anlıyoruz.
  "
1,"
    luis erard marka kol saatlerini 30 bin liradan 5 bin liraya indirip satıyorlar. ben kol saatinin kalitelisinden anlamam ama bu kadar indirim pek mantıklı değil.
  "
2,"
    efsane indirim, şahane fırsatlar kapmasında %7 indirimle 5100 tlye iphone se satmaya çalışan alışveriş sitesiaynı telefon şu anda trendyol'da 4500 tlye satılmaktadır.edit: an itibariyle 4499 tlye düşmüştür, saldırın
  "
3,"
    bu siteden kupon satin alabilen ne yuce insandir yemin ederim ne ballidir. anca carktan marktan kazandik iste de asil is kuponu satin almakta. 111 liralik kuponu 11 liraya satiyor adam. daha neler vardi. on tane boyle alsan bin lira hediye etmis oluyorsun kendine resmen. 1111 lirayi 555 e satiyordu. beyaz esya filan alacaksan super kuponlardi.
  "
4,"
    takip ettiğim birkaç ürünü satıştan kaldırarak zam yapmışlar. bir de 11 11 kampanyaları diye reklam yapıyorlar. amazonda şu an herhangi bir kampanya olmamasına rağmen fiyatlar n11'e göre daha uygun. hem iadesinde sıkıntı çıkmıyor. hem de sürat ile falan gönderip adamı kanser etmiyorlar.
  "
5,"
    boş yapmayın mk. kuponları ve banka bonuslarını kullanmayı bilene gayet güzel indirim yapan site. az önce piyasa değeri 7500 lira olan kırmızı iphone 11i 6600 tl ye aldım..
  "
6,"
    iphone 11 6799 lira.amına kodumun yerinde 1 hafta beklesem önce hepsiburada sonra n11 de 600 lira indirimli alabilirdim.
  "
7,"
    samsung galaxy s10 +’ı 4655 liraya aldım (kupon kullanarak). piyasada en uygun yer burasıydı. amazon ile arasında 340 tl fark vardı. üzgünüm amazon, aslında seni seçmek isterdim ama olmadı.
  "
8,"
    sony kd 55xh9096 ın fiyatı 9959 du. son anda firma öne çıkmak için fiyatı 9599 a indirdi. üstüne 880lik kuponu da yapıştırınca güzel bir alışveriş oldu.
  "
9,"
    şu an bu sitede büyük indirimde olan iphone se 2020'yi amazon'dan daha ucuza alabiliyorum. ahahahahahahahahaha günlerdir bunun için mi reklam yaptınız?
  "
10,"
    hepsiburada, trendyol gibi bu site de reklama verdiği parayı indirime yansıtmamış. bakmayın buradaki parayla entry yazan yazarlara efsane indirim bildiğin kestane çıktı.
  "
11,"
    geçen yıl zorla kupon bulup lastik almıştık. bu sene hiç kupon derdine düşmedik. çünkü ne olacağı belliydi.başlığını görünce ne var ne yok diye bir dolaştığım site. sonrasında tanesi yaklaşık 20 kuruş daha düşüğüne amazon'dan prima premium bebek bezi aldım.
  "
12,"
    iphone 11 64gb şu anda 6700tl. bence çok iyi fiyat şu ortamda
  "
13,"
    takipte olduğum 3 tane telefona 11.11 indirimine bir gün kala %10 zam yapan site.telefonlar -xiaomi mi 10 lite-samsung galaxy m51 128gb-iphone 11 128gb10 gündür bize boşu boşuna kupon toplatıp maymun ettiler yazık.edit: m51 aldım 3369 liraya son saat fiyatı çekmişler birkaç suser uyardı sağolsun.
  "
