,Comment
0,"
    bulunduğum bölgede bir restorant vardı aşırı kötü hizmetinden dolayı hız - servis - lezzet puanları aşırı kötüydü. yemeksepetinden ayrılıp birkaç ay sonra yeniden kayıt olmuşlar. puanları ve yorumları sıfırlanmış hiç birşey olmamış gibi geri dönmüşler. insanları kandırmak bu kadar basit. yemeksepeti'de buna aracı oluyor.
  "
1,"
    an itibari ile çökmüş olan siteekşicep görseluygulaması aktif fakat web siteye ulaşılmıyor.
  "
2,"
    maximum kartla ödemede neredeyse her seferinde sıkıntı çıkartıp ödemeyi almasına rağmen siparişi almayan, parayı 10 dakika sonra geri yatıran ve sinir krizleri geçirten uygulama.
  "
3,"
    tam getir’e bakıyorum yemeksepetinden mesaj geldi. cuma’ya özel fırsat diye. tıkladım, uygulama açılmıyor. sitesine girdim, pizzanın üstünde zehirli madde arama imha ekini geziyor.görsel
"
4,"
    cüzdan saçmalığı ile puan kaybetmiştir. cüzdan'a ön ödeme ile belli miktar para yüklüyorsun.sonra x restaurant'tan yemek siparişi vermek istediğinde ödeme yöntemleri arasında cüzdan gözükmüyor. sss'da bunun açıklamasını aradığında, sipariş verilen restaurant'ın cüzdan ile ödeme kabul etmediği yazıyor. pardon da ben cüzdan'a para yüklerken yemeksepeti'ne ödeme yapıyorum, yemeksepeti ile restaurant arasındaki ödeme ilişkisinin cüzdan'dan ödeme kabul edip etmemekle ne alakası olabilir?(bkz: otur sıfır)ama bunu sistem üzerinden bir şikayet olarak belirtip, cüzdan'ımdaki tutarın iadesini istediğimde ise 2 gün içerisinde kredi kartıma iadeyi gerçekleştirdiler. cüzdan'ın saçmalığı baki kalmakla birlikte, en azından bu iadeyi gerçekleştirerek gözümde puan kazanmayı başardılar.(bkz: daha iyisini yapabilirsin)
  "
5,"
    yaptığım bir yorumu nasıl silebileceğimi bulamadığım sepettir. yardımcı olabilecek yeşillendirirse sevinirim.
  "
6,"
    canlı destek servisine ulaşmak yerine ellerinizi göğe açıp dua etseniz sorununuzun çözümüyle ilgili daha çok mesafe katedersiniz. canlı desteğe ulaşmak zor (neden bilmiyorum, minimum 10 dk alıyor son zamanlarda) , ulaştıktan sonra derdinizi anlatıp çözüm bulmak daha da zor. restorana ulaşamadıkları anlarda dahi siparişi iptal etmemek için 40 takla atıyorlar. herhangi bir bariz mağduriyetten sonra kupon vs. verdiklerini de hatırlamıyorum. oradaki çalışanla dertleşmek için sohbet başlatmışım gibi bir hava var sürekli.yıllar içerisinde gitgide daha da gerileyişini izliyoruz şirket olarak. son zamanlarda çok fazla rakip firma bu alana el attığı için batışını da görmemiz uzak değil diye düşünüyorum.
  "
7,"
    haftanın en az 4-5 günü kullandığım yemek sipariş uygulaması. 2 gün once bir restauranttan sipariş ettigim yemegin icinde saç çıktığını fotoğraf ile yorumlara tamamen küfürsüz ve saygılı sekilde yazmama rağmen yayinlanmadilar. demem o ki yorumlara pek guvenmeyin bahsettigim restaurant 8.6 puandaydı bu arada.edit: entry sonrasi yemeksepeti’nin kurumsal hesabi mesaj atti ve siparis numarami istedi yolladim fakat henüz dönüş yapmadilar.edit2: 5 gün oldu dönüş yapan yok. yorum da gözükmüyor. dedigim gibi yorumlara güvenmeyin.
  "
8,"
    yavaş yavaş yavaş.her daim yavaş. özellikle yoğunluk potansiyeli olan zamanlarda bir başka yavaş!
  "
9,"
    an itibarıyla çöken uygulama aç kaldık...
  "
